continent,location,date,total_cases,total_deaths,total_vaccinations,population
Europe,Russia,30/09/2020,1170799,20630,,145912022
Europe,Russia,31/12/2020,3127347,56271,,145912022
Europe,Russia,31/03/2021,4494234,97219,11373572,145912022
Europe,Russia,30/06/2021,5449594,132973,40027944,145912022
Europe,Russia,30/09/2021,7401104,203549,90298423,145912022
Europe,Russia,31/12/2021,10320405,302671,146364014,145912022
Europe,Russia,31/03/2022,17583111,361348,,145912022
Africa,Rwanda,31/03/2020,75,,,13276517
Africa,Rwanda,30/06/2020,1025,2,,13276517
Africa,Rwanda,30/09/2020,4840,29,,13276517
Africa,Rwanda,31/12/2020,8383,92,,13276517
Africa,Rwanda,31/03/2021,21783,307,,13276517
Africa,Rwanda,30/06/2021,39047,438,,13276517
Africa,Rwanda,30/09/2021,97517,1273,3779887,13276517
Africa,Rwanda,31/12/2021,111786,1350,,13276517
Africa,Rwanda,31/03/2022,129722,1459,20141669,13276517
Africa,Saint Helena,30/09/2020,2,,,6095
Africa,Saint Helena,31/12/2020,4,,,6095
Africa,Saint Helena,31/03/2021,4,,,6095
Africa,Saint Helena,30/06/2021,4,,,6095
Africa,Saint Helena,30/09/2021,4,,,6095
Africa,Saint Helena,31/12/2021,4,,,6095
Africa,Saint Helena,31/03/2022,4,,,6095
North America,Saint Kitts and Nevis,31/03/2020,8,,,53546
North America,Saint Kitts and Nevis,30/06/2020,15,,,53546
North America,Saint Kitts and Nevis,30/09/2020,19,,,53546
North America,Saint Kitts and Nevis,31/12/2020,32,,,53546
North America,Saint Kitts and Nevis,31/03/2021,44,,,53546
North America,Saint Kitts and Nevis,30/06/2021,446,3,41850,53546
North America,Saint Kitts and Nevis,30/09/2021,1918,13,,53546
North America,Saint Kitts and Nevis,31/12/2021,2999,28,,53546
North America,Saint Kitts and Nevis,31/03/2022,5549,43,,53546
North America,Saint Lucia,31/03/2020,13,,,184401
North America,Saint Lucia,30/06/2020,19,,,184401
North America,Saint Lucia,30/09/2020,27,,,184401
North America,Saint Lucia,31/12/2020,353,5,,184401
North America,Saint Lucia,31/03/2021,4238,60,22357,184401
North America,Saint Lucia,30/06/2021,5296,84,52771,184401
North America,Saint Lucia,30/09/2021,11459,201,78510,184401
North America,Saint Lucia,31/12/2021,13570,295,104994,184401
North America,Saint Lucia,31/03/2022,22953,365,,184401
North America,Saint Pierre and Miquelon,30/06/2020,1,,,5771
North America,Saint Pierre and Miquelon,30/09/2020,16,,,5771
North America,Saint Pierre and Miquelon,31/12/2020,16,,,5771
North America,Saint Pierre and Miquelon,31/03/2021,24,,,5771
North America,Saint Pierre and Miquelon,30/06/2021,26,,,5771
North America,Saint Pierre and Miquelon,30/09/2021,31,,,5771
North America,Saint Pierre and Miquelon,31/12/2021,100,,,5771
North America,Saint Pierre and Miquelon,31/03/2022,1957,1,,5771
North America,Saint Vincent and the Grenadines,31/03/2020,1,,,111269
North America,Saint Vincent and the Grenadines,30/06/2020,29,,,111269
North America,Saint Vincent and the Grenadines,30/09/2020,64,,,111269
North America,Saint Vincent and the Grenadines,31/12/2020,121,,,111269
North America,Saint Vincent and the Grenadines,31/03/2021,1748,10,,111269
North America,Saint Vincent and the Grenadines,30/06/2021,2225,12,,111269
North America,Saint Vincent and the Grenadines,30/09/2021,3508,21,34149,111269
North America,Saint Vincent and the Grenadines,31/12/2021,5850,81,,111269
North America,Saint Vincent and the Grenadines,31/03/2022,8335,106,69756,111269
Oceania,Samoa,31/12/2020,2,,,200144
Oceania,Samoa,31/03/2021,3,,,200144
Oceania,Samoa,30/06/2021,3,,,200144
Oceania,Samoa,30/09/2021,3,,,200144
Oceania,Samoa,31/12/2021,3,,,200144
Oceania,Samoa,31/03/2022,1713,,,200144
Europe,San Marino,31/03/2020,236,26,,34010
Europe,San Marino,30/06/2020,713,42,,34010
Europe,San Marino,30/09/2020,749,42,,34010
Europe,San Marino,31/12/2020,2333,59,,34010
Europe,San Marino,31/03/2021,4732,84,12341,34010
Europe,San Marino,30/06/2021,5092,90,44515,34010
Europe,San Marino,30/09/2021,5440,91,,34010
Europe,San Marino,31/12/2021,8202,100,,34010
Europe,San Marino,31/03/2022,15345,113,,34010
Africa,Sao Tome and Principe,30/06/2020,714,13,,223364
Africa,Sao Tome and Principe,30/09/2020,911,15,,223364
Africa,Sao Tome and Principe,31/12/2020,1014,17,,223364
Africa,Sao Tome and Principe,31/03/2021,2223,34,,223364
Africa,Sao Tome and Principe,30/06/2021,2366,37,,223364
Africa,Sao Tome and Principe,30/09/2021,3459,50,,223364
Africa,Sao Tome and Principe,31/12/2021,3897,57,,223364
Africa,Sao Tome and Principe,31/03/2022,5945,73,,223364
Asia,Saudi Arabia,31/03/2020,1563,10,,35340680
Asia,Saudi Arabia,30/06/2020,190823,1649,,35340680
Asia,Saudi Arabia,30/09/2020,334605,4768,,35340680
Asia,Saudi Arabia,31/12/2020,362741,6223,,35340680
Asia,Saudi Arabia,31/03/2021,390007,6669,4432572,35340680
Asia,Saudi Arabia,30/06/2021,487592,7819,17880870,35340680
Asia,Saudi Arabia,30/09/2021,547134,8716,42109715,35340680
Asia,Saudi Arabia,31/12/2021,556236,8877,50894142,35340680
Asia,Saudi Arabia,31/03/2022,750814,9045,,35340680
Africa,Senegal,31/03/2020,175,,,17196308
Africa,Senegal,30/06/2020,6793,112,,17196308
Africa,Senegal,30/09/2020,14982,311,,17196308
Africa,Senegal,31/12/2020,19140,410,,17196308
Africa,Senegal,31/03/2021,38705,1051,260754,17196308
Africa,Senegal,30/06/2021,43128,1166,,17196308
Africa,Senegal,30/09/2021,73775,1858,1812874,17196308
Africa,Senegal,31/12/2021,75055,1890,,17196308
Africa,Senegal,31/03/2022,85895,1964,,17196308
Europe,Serbia,31/03/2020,900,16,,6871547
Europe,Serbia,30/06/2020,14564,277,,6871547
Europe,Serbia,30/09/2020,33551,749,,6871547
Europe,Serbia,31/12/2020,337923,3211,,6871547
Europe,Serbia,31/03/2021,600596,5308,2444395,6871547
Europe,Serbia,30/06/2021,716562,7047,,6871547
Europe,Serbia,30/09/2021,941989,8234,6497670,6871547
Europe,Serbia,31/12/2021,1299339,12714,,6871547
Europe,Serbia,31/03/2022,1976567,15799,,6871547
Africa,Seychelles,31/03/2020,8,,,98910
Africa,Seychelles,30/06/2020,81,,,98910
Africa,Seychelles,30/09/2020,141,,,98910
Africa,Seychelles,31/12/2020,226,,,98910
Africa,Seychelles,31/03/2021,4114,20,,98910
Africa,Seychelles,30/06/2021,15671,56,138581,98910
Africa,Seychelles,30/09/2021,21473,112,,98910
Africa,Seychelles,31/12/2021,24788,134,,98910
Africa,Seychelles,31/03/2022,40421,164,,98910
Africa,Sierra Leone,31/03/2020,1,,,8141343
Africa,Sierra Leone,30/06/2020,1462,60,,8141343
Africa,Sierra Leone,30/09/2020,2231,72,,8141343
Africa,Sierra Leone,31/12/2020,2611,76,,8141343
Africa,Sierra Leone,31/03/2021,3980,79,31889,8141343
Africa,Sierra Leone,30/06/2021,5575,100,,8141343
Africa,Sierra Leone,30/09/2021,6394,121,,8141343
Africa,Sierra Leone,31/12/2021,7064,123,,8141343
Africa,Sierra Leone,31/03/2022,7674,125,,8141343
Asia,Singapore,31/03/2020,926,3,,5453600
Asia,Singapore,30/06/2020,43907,26,,5453600
Asia,Singapore,30/09/2020,57765,27,,5453600
Asia,Singapore,31/12/2020,58599,29,132,5453600
Asia,Singapore,31/03/2021,60381,30,1373678,5453600
Asia,Singapore,30/06/2021,62579,36,5423908,5453600
Asia,Singapore,30/09/2021,96521,95,9196968,5453600
Asia,Singapore,31/12/2021,279405,828,11551978,5453600
Asia,Singapore,31/03/2022,1096428,1268,13810234,5453600
North America,Sint Maarten (Dutch part),30/06/2021,,,,43421
North America,Sint Maarten (Dutch part),30/09/2021,,,,43421
North America,Sint Maarten (Dutch part),31/12/2021,,,,43421
Europe,Slovakia,31/03/2020,363,,,5449270
Europe,Slovakia,30/06/2020,1667,28,,5449270
Europe,Slovakia,30/09/2020,10141,48,,5449270
Europe,Slovakia,31/12/2020,274603,2138,,5449270
Europe,Slovakia,31/03/2021,707876,9719,,5449270
Europe,Slovakia,30/06/2021,775011,12510,,5449270
Europe,Slovakia,30/09/2021,804372,12637,,5449270
Europe,Slovakia,31/12/2021,1371082,16635,,5449270
Europe,Slovakia,31/03/2022,2443137,19352,,5449270
Europe,Slovenia,31/03/2020,802,15,,2078723
Europe,Slovenia,30/06/2020,1600,111,,2078723
Europe,Slovenia,30/09/2020,5690,150,,2078723
Europe,Slovenia,31/12/2020,122152,2697,11490,2078723
Europe,Slovenia,31/03/2021,215602,4047,375180,2078723
Europe,Slovenia,30/06/2021,257335,4419,1477702,2078723
Europe,Slovenia,30/09/2021,293364,4561,2082266,2078723
Europe,Slovenia,31/12/2021,464048,5589,2762305,2078723
Europe,Slovenia,31/03/2022,968109,6487,2978753,2078723
Oceania,Solomon Islands,31/12/2020,17,,,703995
Oceania,Solomon Islands,31/03/2021,19,,,703995
Oceania,Solomon Islands,30/06/2021,20,,,703995
Oceania,Solomon Islands,30/09/2021,20,,,703995
Oceania,Solomon Islands,31/12/2021,24,,,703995
Oceania,Solomon Islands,31/03/2022,11470,133,,703995
Africa,Somalia,31/03/2020,5,,,16359500
Africa,Somalia,30/06/2020,2924,90,,16359500
Africa,Somalia,30/09/2020,3588,99,,16359500
Africa,Somalia,31/12/2020,4714,130,,16359500
Africa,Somalia,31/03/2021,11398,529,,16359500
Africa,Somalia,30/06/2021,14946,775,,16359500
Africa,Somalia,30/09/2021,19980,1111,,16359500
Africa,Somalia,31/12/2021,23532,1333,,16359500
Africa,Somalia,31/03/2022,26410,1361,,16359500
Africa,South Africa,31/03/2020,1353,5,,60041996
Africa,South Africa,30/06/2020,151209,2657,,60041996
Africa,South Africa,30/09/2020,674339,16734,,60041996
Africa,South Africa,31/12/2020,1057161,28469,,60041996
Africa,South Africa,31/03/2021,1548157,52846,263878,60041996
Africa,South Africa,30/06/2021,1973972,60647,3026636,60041996
Africa,South Africa,30/09/2021,2902672,87626,17505358,60041996
Africa,South Africa,31/12/2021,3458286,91145,,60041996
Africa,South Africa,31/03/2022,3718953,100032,33656772,60041996
,South America,31/03/2020,14496,484,,434260137
,South America,30/06/2020,2239064,113789,,434260137
,South America,30/09/2020,8070872,302926,,434260137
,South America,31/12/2020,13199247,418164,52048,434260137
,South America,31/03/2021,21164239,644263,42494293,434260137
,South America,30/06/2021,32894941,1005137,186487706,434260137
,South America,30/09/2021,37778120,1155256,448142428,434260137
,South America,31/12/2021,39772404,1191976,651823173,434260137
,South America,31/03/2022,56052817,1287819,814193394,434260137
Asia,South Korea,31/03/2020,9786,162,,51305184
Asia,South Korea,30/06/2020,12850,282,,51305184
Asia,South Korea,30/09/2020,23889,415,,51305184
Asia,South Korea,31/12/2020,61769,917,,51305184
Asia,South Korea,31/03/2021,103639,1735,949909,51305184
Asia,South Korea,30/06/2021,157723,2021,19510759,51305184
Asia,South Korea,30/09/2021,313773,2497,63975083,51305184
Asia,South Korea,31/12/2021,635253,5625,103901858,51305184
Asia,South Korea,31/03/2022,13375818,16590,120977589,51305184
Africa,South Sudan,30/06/2020,2007,38,,11381377
Africa,South Sudan,30/09/2020,2704,49,,11381377
Africa,South Sudan,31/12/2020,3558,63,,11381377
Africa,South Sudan,31/03/2021,10165,109,,11381377
Africa,South Sudan,30/06/2021,10834,117,,11381377
Africa,South Sudan,30/09/2021,12010,130,,11381377
Africa,South Sudan,31/12/2021,15242,135,,11381377
Africa,South Sudan,31/03/2022,17262,138,,11381377
Europe,Spain,31/03/2020,95923,8464,,46745211
Europe,Spain,30/06/2020,249271,28355,,46745211
Europe,Spain,30/09/2020,769188,31791,,46745211
Europe,Spain,31/12/2020,1928265,50837,,46745211
Europe,Spain,31/03/2021,3284353,75459,8035160,46745211
Europe,Spain,30/06/2021,3808960,80875,42027584,46745211
Europe,Spain,30/09/2021,4959091,86415,70153507,46745211
Europe,Spain,31/12/2021,6294745,89405,,46745211
Europe,Spain,31/03/2022,11508309,102218,,46745211
Asia,Sri Lanka,31/03/2020,143,2,,21497306
Asia,Sri Lanka,30/06/2020,2047,11,,21497306
Asia,Sri Lanka,30/09/2020,3380,13,,21497306
Asia,Sri Lanka,31/12/2020,43299,204,,21497306
Asia,Sri Lanka,31/03/2021,92706,568,913219,21497306
Asia,Sri Lanka,30/06/2021,259089,3077,3693103,21497306
Asia,Sri Lanka,30/09/2021,517377,12906,26233218,21497306
Asia,Sri Lanka,31/12/2021,587245,14979,33841264,21497306
Asia,Sri Lanka,31/03/2022,661631,16477,,21497306
Africa,Sudan,31/03/2020,7,2,,44909351
Africa,Sudan,30/06/2020,9372,572,,44909351
Africa,Sudan,30/09/2020,13646,836,,44909351
Africa,Sudan,31/12/2020,25500,1468,,44909351
Africa,Sudan,31/03/2021,31833,2063,,44909351
Africa,Sudan,30/06/2021,36658,2754,,44909351
Africa,Sudan,30/09/2021,38283,2902,,44909351
Africa,Sudan,31/12/2021,46518,3331,,44909351
Africa,Sudan,31/03/2022,61955,4907,6761896,44909351
South America,Suriname,31/03/2020,9,,,591798
South America,Suriname,30/06/2020,515,13,,591798
South America,Suriname,30/09/2020,4877,104,,591798
South America,Suriname,31/12/2020,6210,122,,591798
South America,Suriname,31/03/2021,9122,177,26057,591798
South America,Suriname,30/06/2021,21732,522,196194,591798
South America,Suriname,30/09/2021,41631,884,401242,591798
South America,Suriname,31/12/2021,52446,1189,,591798
South America,Suriname,31/03/2022,79221,1324,,591798
Europe,Sweden,31/03/2020,4834,385,,10160159
Europe,Sweden,30/06/2020,67924,5333,,10160159
Europe,Sweden,30/09/2020,92863,5893,,10160159
Europe,Sweden,31/12/2020,437379,8727,,10160159
Europe,Sweden,31/03/2021,804886,13465,,10160159
Europe,Sweden,30/06/2021,1089990,14629,,10160159
Europe,Sweden,30/09/2021,1152886,14864,,10160159
Europe,Sweden,31/12/2021,1314784,15310,,10160159
Europe,Sweden,31/03/2022,2487852,18365,21139260,10160159
Europe,Switzerland,31/03/2020,16605,485,,8715494
Europe,Switzerland,30/06/2020,31714,1809,,8715494
Europe,Switzerland,30/09/2020,53282,1908,,8715494
Europe,Switzerland,31/12/2020,452296,7873,6382,8715494
Europe,Switzerland,31/03/2021,601124,10297,1568351,8715494
Europe,Switzerland,30/06/2021,703004,10773,7551643,8715494
Europe,Switzerland,30/09/2021,840363,11087,10477873,8715494
Europe,Switzerland,31/12/2021,1332615,12217,13844683,8715494
Europe,Switzerland,31/03/2022,3497499,13564,15640350,8715494
Asia,Syria,31/03/2020,10,2,,18275704
Asia,Syria,30/06/2020,279,9,,18275704
Asia,Syria,30/09/2020,4200,200,,18275704
Asia,Syria,31/12/2020,11434,711,,18275704
Asia,Syria,31/03/2021,18909,1265,,18275704
Asia,Syria,30/06/2021,25515,1876,,18275704
Asia,Syria,30/09/2021,34205,2247,,18275704
Asia,Syria,31/12/2021,50278,2897,,18275704
Asia,Syria,31/03/2022,55695,3141,,18275704
Asia,Taiwan,31/03/2020,322,5,,23855008
Asia,Taiwan,30/06/2020,447,7,,23855008
Asia,Taiwan,30/09/2020,514,7,,23855008
Asia,Taiwan,31/12/2020,799,7,,23855008
Asia,Taiwan,31/03/2021,1030,10,14400,23855008
Asia,Taiwan,30/06/2021,14804,648,2043218,23855008
Asia,Taiwan,30/09/2021,16223,842,15880889,23855008
Asia,Taiwan,31/12/2021,17029,850,34872136,23855008
Asia,Taiwan,31/03/2022,23394,853,49607595,23855008
Asia,Tajikistan,30/06/2020,5900,52,,9749625
Asia,Tajikistan,30/09/2020,9726,75,,9749625
Asia,Tajikistan,31/12/2020,13665,90,,9749625
Asia,Tajikistan,31/03/2021,13714,91,,9749625
Asia,Tajikistan,30/06/2021,13905,91,,9749625
Asia,Tajikistan,30/09/2021,17484,125,,9749625
Asia,Tajikistan,31/12/2021,17493,125,,9749625
Asia,Tajikistan,31/03/2022,17786,125,,9749625
Africa,Tanzania,31/03/2020,19,1,,61498438
Africa,Tanzania,30/06/2020,509,21,,61498438
Africa,Tanzania,30/09/2020,509,21,,61498438
Africa,Tanzania,31/12/2020,509,21,,61498438
Africa,Tanzania,31/03/2021,509,21,,61498438
Africa,Tanzania,30/06/2021,509,21,,61498438
Africa,Tanzania,30/09/2021,25846,50,,61498438
Africa,Tanzania,31/12/2021,29306,737,,61498438
Africa,Tanzania,31/03/2022,33815,800,,61498438
Asia,Thailand,31/03/2020,1651,10,,69950844
Asia,Thailand,30/06/2020,3171,58,,69950844
Asia,Thailand,30/09/2020,3564,59,,69950844
Asia,Thailand,31/12/2020,6884,61,,69950844
Asia,Thailand,31/03/2021,28863,94,,69950844
Asia,Thailand,30/06/2021,259301,2023,9927698,69950844
Asia,Thailand,30/09/2021,1603475,16727,,69950844
Asia,Thailand,31/12/2021,2223435,21698,105160269,69950844
Asia,Thailand,31/03/2022,3656726,25222,129548371,69950844
Asia,Timor,31/03/2020,1,,,1343875
Asia,Timor,30/06/2020,24,,,1343875
Asia,Timor,30/09/2020,28,,,1343875
Asia,Timor,31/12/2020,44,,,1343875
Asia,Timor,31/03/2021,604,,,1343875
Asia,Timor,30/06/2021,9222,23,,1343875
Asia,Timor,30/09/2021,19498,117,,1343875
Asia,Timor,31/12/2021,19837,122,,1343875
Asia,Timor,31/03/2022,22830,130,,1343875
Africa,Togo,31/03/2020,34,1,,8478242
Africa,Togo,30/06/2020,650,14,,8478242
Africa,Togo,30/09/2020,1784,48,,8478242
Africa,Togo,31/12/2020,3633,68,,8478242
Africa,Togo,31/03/2021,10249,109,,8478242
Africa,Togo,30/06/2021,13917,129,,8478242
Africa,Togo,30/09/2021,25429,229,,8478242
Africa,Togo,31/12/2021,30163,248,2413619,8478242
Africa,Togo,31/03/2022,36939,272,,8478242
Oceania,Tokelau,30/06/2021,,,,1368
Oceania,Tokelau,30/09/2021,,,,1368
Oceania,Tonga,30/06/2021,,,,106759
Oceania,Tonga,30/09/2021,,,,106759
Oceania,Tonga,31/12/2021,1,,,106759
Oceania,Tonga,31/03/2022,6423,6,,106759
North America,Trinidad and Tobago,31/03/2020,87,3,,1403374
North America,Trinidad and Tobago,30/06/2020,130,8,,1403374
North America,Trinidad and Tobago,30/09/2020,4531,76,,1403374
North America,Trinidad and Tobago,31/12/2020,7150,127,,1403374
North America,Trinidad and Tobago,31/03/2021,8026,142,,1403374
North America,Trinidad and Tobago,30/06/2021,32793,847,302548,1403374
North America,Trinidad and Tobago,30/09/2021,50709,1482,1073351,1403374
North America,Trinidad and Tobago,31/12/2021,91899,2869,1408384,1403374
North America,Trinidad and Tobago,31/03/2022,137860,3750,,1403374
Africa,Tunisia,31/03/2020,394,10,,11935764
Africa,Tunisia,30/06/2020,1174,50,,11935764
Africa,Tunisia,30/09/2020,18413,265,,11935764
Africa,Tunisia,31/12/2020,139140,4676,,11935764
Africa,Tunisia,31/03/2021,254018,8812,,11935764
Africa,Tunisia,30/06/2021,420103,14959,1844651,11935764
Africa,Tunisia,30/09/2021,707190,24890,,11935764
Africa,Tunisia,31/12/2021,726706,25569,12156566,11935764
Africa,Tunisia,31/03/2022,1035884,28323,,11935764
Asia,Turkey,31/03/2020,13531,214,,85042736
Asia,Turkey,30/06/2020,199906,5131,,85042736
Asia,Turkey,30/09/2020,318663,8195,,85042736
Asia,Turkey,31/12/2020,2208652,20881,,85042736
Asia,Turkey,31/03/2021,3317182,31537,15834787,85042736
Asia,Turkey,30/06/2021,5425652,49732,50608142,85042736
Asia,Turkey,30/09/2021,7154070,64054,109495613,85042736
Asia,Turkey,31/12/2021,9482550,82361,131646005,85042736
Asia,Turkey,31/03/2022,14860560,98033,146995383,85042736
Asia,Turkmenistan,31/03/2021,,,,6117933
Asia,Turkmenistan,30/06/2021,,,,6117933
Asia,Turkmenistan,30/09/2021,,,,6117933
Asia,Turkmenistan,31/12/2021,,,,6117933
North America,Turks and Caicos Islands,31/03/2020,5,,,39226
North America,Turks and Caicos Islands,30/06/2020,41,2,,39226
North America,Turks and Caicos Islands,30/09/2020,689,6,,39226
North America,Turks and Caicos Islands,31/12/2020,893,6,,39226
North America,Turks and Caicos Islands,31/03/2021,2329,17,,39226
North America,Turks and Caicos Islands,30/06/2021,2425,18,,39226
North America,Turks and Caicos Islands,30/09/2021,2844,23,,39226
North America,Turks and Caicos Islands,31/12/2021,3284,26,,39226
North America,Turks and Caicos Islands,31/03/2022,5910,36,,39226
Oceania,Tuvalu,30/06/2021,,,,11925
Oceania,Tuvalu,30/09/2021,,,,11925
Oceania,Tuvalu,31/12/2021,,,,11925
Oceania,Tuvalu,31/03/2022,,,,11925
Africa,Uganda,31/03/2020,44,,,47123533
Africa,Uganda,30/06/2020,889,,,47123533
Africa,Uganda,30/09/2020,8129,75,,47123533
Africa,Uganda,31/12/2020,35216,251,,47123533
Africa,Uganda,31/03/2021,40867,335,,47123533
Africa,Uganda,30/06/2021,79977,1023,,47123533
Africa,Uganda,30/09/2021,123572,3156,,47123533
Africa,Uganda,31/12/2021,140737,3294,,47123533
Africa,Uganda,31/03/2022,163905,3596,,47123533
Europe,Ukraine,31/03/2020,645,17,,43466822
Europe,Ukraine,30/06/2020,45254,1173,,43466822
Europe,Ukraine,30/09/2020,214446,4221,,43466822
Europe,Ukraine,31/12/2020,1086997,19281,,43466822
Europe,Ukraine,31/03/2021,1725029,34456,248736,43466822
Europe,Ukraine,30/06/2021,2300101,54581,2676654,43466822
Europe,Ukraine,30/09/2021,2533301,59980,12747523,43466822
Europe,Ukraine,31/12/2021,3847226,102088,28457565,43466822
Europe,Ukraine,31/03/2022,5040518,112459,,43466822
Asia,United Arab Emirates,31/03/2020,664,6,,9991083
Asia,United Arab Emirates,30/06/2020,48667,315,,9991083
Asia,United Arab Emirates,30/09/2020,94190,419,,9991083
Asia,United Arab Emirates,31/12/2020,207822,669,,9991083
Asia,United Arab Emirates,31/03/2021,461444,1497,8308469,9991083
Asia,United Arab Emirates,30/06/2021,632907,1811,15362342,9991083
Asia,United Arab Emirates,30/09/2021,735992,2097,20052399,9991083
Asia,United Arab Emirates,31/12/2021,761937,2164,,9991083
Asia,United Arab Emirates,31/03/2022,891300,2302,24485172,9991083
Europe,United Kingdom,31/03/2020,38598,2456,,68207114
Europe,United Kingdom,30/06/2020,284278,40441,,68207114
Europe,United Kingdom,30/09/2020,453928,42191,,68207114
Europe,United Kingdom,31/12/2020,2491790,73569,,68207114
Europe,United Kingdom,31/03/2021,4349834,126799,35660902,68207114
Europe,United Kingdom,30/06/2021,4805237,128226,77909177,68207114
Europe,United Kingdom,30/09/2021,7818640,136761,94633524,68207114
Europe,United Kingdom,31/12/2021,12964690,148737,133312817,68207114
Europe,United Kingdom,31/03/2022,21216038,165530,141068682,68207114
North America,United States,31/03/2020,192079,5359,,332915074
North America,United States,30/06/2020,2645088,127365,,332915074
North America,United States,30/09/2020,7240030,205872,,332915074
North America,United States,31/12/2020,20191331,349854,5653228,332915074
North America,United States,31/03/2021,30562944,548034,172028285,332915074
North America,United States,30/06/2021,33776560,600707,338398485,332915074
North America,United States,30/09/2021,43526717,696131,401786546,332915074
North America,United States,31/12/2021,54835853,824338,518581454,332915074
North America,United States,31/03/2022,80110880,980989,563985384,332915074
North America,United States Virgin Islands,31/03/2020,,,,104218
North America,United States Virgin Islands,30/06/2020,,,,104218
North America,United States Virgin Islands,30/09/2020,,,,104218
North America,United States Virgin Islands,31/12/2020,,,,104218
North America,United States Virgin Islands,31/03/2021,,,,104218
North America,United States Virgin Islands,30/06/2021,,,,104218
North America,United States Virgin Islands,30/09/2021,,,,104218
North America,United States Virgin Islands,31/12/2021,,,,104218
North America,United States Virgin Islands,31/03/2022,,,,104218
South America,Uruguay,31/03/2020,338,1,,3485152
South America,Uruguay,30/06/2020,936,27,,3485152
South America,Uruguay,30/09/2020,2046,48,,3485152
South America,Uruguay,31/12/2020,19119,181,,3485152
South America,Uruguay,31/03/2021,105549,974,687932,3485152
South America,Uruguay,30/06/2021,369350,5593,3955294,3485152
South America,Uruguay,30/09/2021,388928,6055,6292771,3485152
South America,Uruguay,31/12/2021,413383,6170,6972283,3485152
South America,Uruguay,31/03/2022,887935,7159,8046155,3485152
Asia,Uzbekistan,31/03/2020,172,2,,33935765
Asia,Uzbekistan,30/06/2020,8503,26,,33935765
Asia,Uzbekistan,30/09/2020,56717,470,,33935765
Asia,Uzbekistan,31/12/2020,77060,614,,33935765
Asia,Uzbekistan,31/03/2021,82869,629,0,33935765
Asia,Uzbekistan,30/06/2021,110677,736,,33935765
Asia,Uzbekistan,30/09/2021,173895,1239,20781994,33935765
Asia,Uzbekistan,31/12/2021,198903,1485,,33935765
Asia,Uzbekistan,31/03/2022,237749,1637,,33935765
Oceania,Vanuatu,31/12/2020,1,,,314464
Oceania,Vanuatu,31/03/2021,3,,,314464
Oceania,Vanuatu,30/06/2021,4,1,,314464
Oceania,Vanuatu,30/09/2021,4,1,,314464
Oceania,Vanuatu,31/12/2021,7,1,,314464
Oceania,Vanuatu,31/03/2022,3379,2,,314464
Europe,Vatican,31/03/2020,6,,,812
Europe,Vatican,30/06/2020,12,,,812
Europe,Vatican,30/09/2020,12,,,812
Europe,Vatican,31/12/2020,27,,,812
Europe,Vatican,31/03/2021,27,,,812
Europe,Vatican,30/06/2021,27,,,812
Europe,Vatican,30/09/2021,27,,,812
Europe,Vatican,31/12/2021,27,,,812
Europe,Vatican,31/03/2022,29,,,812
South America,Venezuela,31/03/2020,135,3,,28704947
South America,Venezuela,30/06/2020,5832,51,,28704947
South America,Venezuela,30/09/2020,75122,628,,28704947
South America,Venezuela,31/12/2020,113558,1028,,28704947
South America,Venezuela,31/03/2021,160497,1602,,28704947
South America,Venezuela,30/06/2021,272712,3119,,28704947
South America,Venezuela,30/09/2021,368968,4469,,28704947
South America,Venezuela,31/12/2021,444635,5328,,28704947
South America,Venezuela,31/03/2022,520373,5682,,28704947
Asia,Vietnam,31/03/2020,212,,,98168829
Asia,Vietnam,30/06/2020,355,,,98168829
Asia,Vietnam,30/09/2020,1094,35,,98168829
Asia,Vietnam,31/12/2020,1465,35,,98168829
Asia,Vietnam,31/03/2021,2603,35,49743,98168829
Asia,Vietnam,30/06/2021,17052,81,3776980,98168829
Asia,Vietnam,30/09/2021,790755,19301,42888157,98168829
Asia,Vietnam,31/12/2021,1731257,32394,,98168829
Asia,Vietnam,31/03/2022,9564609,42493,,98168829
Oceania,Wallis and Futuna,31/12/2020,4,,,11094
Oceania,Wallis and Futuna,31/03/2021,401,4,,11094
Oceania,Wallis and Futuna,30/06/2021,454,7,,11094
Oceania,Wallis and Futuna,30/09/2021,454,7,,11094
Oceania,Wallis and Futuna,31/12/2021,454,7,,11094
Oceania,Wallis and Futuna,31/03/2022,454,7,,11094
,World,31/03/2020,870403,44661,,7874965730
,World,30/06/2020,10472385,536343,,7874965730
,World,30/09/2020,34029040,1063488,,7874965730
,World,31/12/2020,83752947,1879122,11884387,7874965730
,World,31/03/2021,129344472,2906701,628635667,7874965730
,World,30/06/2021,182712338,3947956,3112418306,7874965730
,World,30/09/2021,234339561,4781774,6296779451,7874965730
,World,31/12/2021,288702498,5436409,9170259327,7874965730
,World,31/03/2022,488408975,6143498,11297900671,7874965730
Asia,Yemen,30/06/2020,1158,312,,30490639
Asia,Yemen,30/09/2020,2034,587,,30490639
Asia,Yemen,31/12/2020,2099,610,,30490639
Asia,Yemen,31/03/2021,4357,888,,30490639
Asia,Yemen,30/06/2021,6920,1361,,30490639
Asia,Yemen,30/09/2021,9067,1721,,30490639
Asia,Yemen,31/12/2021,10126,1984,,30490639
Asia,Yemen,31/03/2022,11806,2143,,30490639
Africa,Zambia,31/03/2020,35,,,18920657
Africa,Zambia,30/06/2020,1594,24,,18920657
